"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2022","103.210","103.210","103.210","103.210","","11.18%"
"04/25/2022","92.835","92.835","92.835","92.835","","-2.15%"
"04/22/2022","94.875","94.875","94.875","94.875","","-5.18%"
"04/21/2022","100.060","100.060","100.060","100.060","","6.19%"
"04/20/2022","94.230","96.750","96.750","96.750","0.00K","0.49%"
"04/19/2022","93.770","93.770","93.770","93.770","","-1.93%"
"04/18/2022","95.620","95.620","95.620","95.620","","0.00%"
"04/14/2022","95.620","95.620","95.620","95.620","","-9.21%"
"04/13/2022","105.325","105.325","105.325","105.325","","3.04%"
"04/12/2022","102.220","103.750","103.750","103.750","0.00K","2.08%"
"04/11/2022","100.135","100.135","100.135","100.135","","-3.61%"
"04/08/2022","103.880","103.880","103.880","103.880","","-0.66%"
"04/07/2022","104.565","104.565","104.565","104.565","","-2.08%"
"04/06/2022","106.790","106.790","106.790","106.790","","-1.63%"
"04/05/2022","108.565","108.140","108.140","108.140","0.00K","-0.88%"
"04/04/2022","109.525","109.525","109.525","109.525","0.01K","-2.34%"
"04/01/2022","112.150","114.750","114.750","114.750","0.03K","-10.92%"
"03/31/2022","125.905","125.905","125.905","125.905","","5.83%"
"03/30/2022","118.970","118.970","118.970","118.970","","9.77%"
"03/29/2022","108.380","108.380","108.380","108.380","0.38K","5.69%"
"03/28/2022","102.545","97.600","97.600","97.600","0.00K","1.26%"
"03/25/2022","101.270","101.270","101.270","101.270","0.04K","-9.26%"
"03/24/2022","111.610","116.000","116.000","116.000","0.03K","-4.61%"
"03/23/2022","117.000","117.000","117.000","117.000","","18.49%"
"03/22/2022","98.745","98.745","98.745","98.745","0.01K","2.54%"
"03/21/2022","96.302","98.720","98.720","98.720","0.01K","-8.32%"
"03/18/2022","105.045","105.045","105.045","105.045","0.01K","-0.04%"
"03/17/2022","105.090","110.500","110.500","105.250","0.02K","2.40%"
"03/16/2022","102.625","102.625","102.625","102.625","","-11.10%"
"03/15/2022","115.440","121.690","121.690","121.690","0.00K","0.80%"
"03/14/2022","114.520","114.520","114.520","114.520","0.00K","-12.73%"
"03/11/2022","131.230","131.230","131.230","131.230","","3.82%"
"03/10/2022","126.400","126.400","126.400","126.400","","-18.91%"
"03/09/2022","155.880","155.880","155.880","155.880","","-27.35%"
"03/08/2022","214.555","214.555","214.555","214.555","","-5.57%"
"03/07/2022","227.200","227.200","227.200","227.200","0.01K","18.00%"
"03/04/2022","192.550","192.550","192.550","192.550","0.02K","19.73%"
"03/03/2022","160.825","148.000","148.000","147.490","0.01K","-2.85%"
"03/02/2022","165.545","165.545","165.545","165.545","0.00K","36.06%"
"03/01/2022","121.675","103.665","119.270","103.665","0.43K","23.41%"
"02/28/2022","98.595","116.490","116.490","104.470","0.03K","4.42%"
"02/25/2022","94.422","94.422","94.422","94.422","0.10K","-29.70%"
"02/24/2022","134.315","106.100","135.000","106.100","0.00K","51.10%"
"02/23/2022","88.890","83.175","88.000","83.175","0.04K","11.40%"
"02/22/2022","79.790","71.525","80.345","71.525","0.37K","11.25%"
"02/21/2022","71.720","71.525","75.465","71.525","0.09K","-2.77%"
"02/18/2022","73.760","72.975","73.900","70.570","0.05K","-1.54%"
"02/17/2022","74.915","73.350","75.150","71.340","0.05K","7.34%"
"02/16/2022","69.795","69.095","71.000","68.970","0.10K","-1.59%"
"02/15/2022","70.920","76.060","76.170","68.515","0.13K","-12.20%"
"02/14/2022","80.770","83.600","83.600","79.695","0.30K","4.32%"
"02/11/2022","77.425","73.415","76.400","73.305","0.17K","4.13%"
"02/10/2022","74.355","74.030","74.680","72.470","0.15K","-0.08%"
"02/09/2022","74.415","76.695","76.695","73.835","0.07K","-3.73%"
"02/08/2022","77.300","81.480","82.000","75.480","0.32K","-2.88%"
"02/07/2022","79.595","78.800","79.740","77.850","0.07K","-3.70%"
"02/04/2022","82.650","81.470","82.450","81.470","0.10K","3.02%"
"02/03/2022","80.225","79.600","80.100","77.010","0.33K","3.72%"
"02/02/2022","77.350","77.150","79.100","76.290","0.38K","1.56%"
"02/01/2022","76.165","78.300","78.380","74.800","0.48K","-10.04%"
"01/31/2022","84.670","84.850","84.850","84.850","0.00K","-8.03%"
"01/28/2022","92.062","92.062","92.062","92.062","0.06K","-0.26%"
"01/27/2022","92.300","92.250","92.900","90.310","0.33K","0.51%"
"01/26/2022","91.835","89.395","92.445","89.395","0.07K","-1.86%"
"01/25/2022","93.580","92.385","95.510","92.385","0.05K","0.62%"
"01/24/2022","93.000","88.605","93.600","88.605","0.07K","17.75%"
"01/21/2022","78.980","74.765","81.815","74.765","0.05K","5.02%"
"01/20/2022","75.205","71.000","75.590","71.000","0.05K","-0.52%"
